S.No,City Name,Activities,Place,Type Of Activity,Months To Visit,Budget
,,Santhome Cathedral Basilica Tour,"Santhome, Chennai",Religious/Architecture,November – February,Free – ?50
,,Mahabalipuram Day Trip,60 km from Chennai,Heritage/Adventure,November – March,"?500 – ?1,500"
15,GANDHINAGAR,Akshardham Temple Visit,"Sector 20, Gandhinagar",Cultural/Religious,November – February,Free – ?60
,,Indroda Nature Park Exploration,"GEER Foundation, Gandhinagar",Nature/Wildlife,November – February,?20 – ?100
,,Sarita Udyan Picnic & Walk,"Near Indroda Park, Gandhinagar",Leisure/Nature,November – February,Free
,,Dandi Kutir Museum Tour,"Mahatma Mandir, Gandhinagar",History/Culture,November – February,?10 – ?30
,,Children’s Park & Boating,"Sector 28, Gandhinagar",Leisure/Family,November – February,?10 – ?50
16,KOLKATA,Victoria Memorial Tour,"Victoria Memorial Hall, Kolkata",History/Culture,November – February,?30 – ?500
,,Howrah Bridge & Hooghly River Walk,"Howrah Bridge, Kolkata",Sightseeing/Photography,November – February,Free
,,Dakshineswar Kali Temple Visit,"Dakshineswar, Kolkata",Cultural/Religious,November – February,Free – ?50
,,Indian Museum Exploration,"Jawaharlal Nehru Road, Kolkata",History/Education,November – February,?20 – ?500
,,Park Street Food & Nightlife,"Park Street, Kolkata",Food/Cultural,November – February,"?200 – ?1,000"
17,GUWAHATI,Kamakhya Temple Visit,"Nilachal Hill, Guwahati",Cultural/Religious,October – March,Free – ?50
,,Umananda Island & Temple Visit,"Peacock Island, Brahmaputra River",Cultural/Nature,October – March,?50 – ?200
,,Assam State Museum Exploration,"Dighalipukhuri, Guwahati",History/Culture,October – March,?20 – ?100
,,Brahmaputra River Sunset Cruise,"Brahmaputra Riverfront, Guwahati",Leisure/Sightseeing,October – March,"?300 – ?1,000"
,,Pobitora Wildlife Sanctuary Safari,"Pobitora, near Guwahati",Wildlife/Nature,November – March,"?500 – ?1,500"
18,BHUBANESWAR,Lingaraj Temple Visit,"Old Town, Bhubaneswar",Cultural/Religious,October – March,Free – ?50
,,Nandankanan Zoological Park,"Barang, Bhubaneswar",Wildlife/Nature,October – March,?50 – ?100
,,Odisha State Museum,"Near Kalpana Square, Bhubaneswar",History/Culture,October – March,?10 – ?20
,,Dhauli Shanti Stupa,"Dhauli Hills, Bhubaneswar",Cultural/Heritage,October – March,Free – ?20
,,Udayagiri & Khandagiri Caves,"Khandagiri, Bhubaneswar",Heritage/Adventure,October – March,?10 – ?25
19,RANCHI,Dassam Falls Visit,"Taimara, 40 km from Ranchi",Nature/Waterfall,October – March,Free – ?20
,,Rock Garden & Kanke Dam,"Gonda Hills, Ranchi",Nature/Picnic Spot,October – March,?10 – ?20
,,Patratu Valley & Dam,"Patratu, 40 km from Ranchi",Scenic Drive/Nature,October – March,Free
,,Jagannath Temple,"Jagannathpur, Ranchi",Cultural/Religious,October – March,Free – ?10
,,Hundru Falls,45 km from Ranchi,Nature/Waterfall,October – March,Free – ?20
20,CHANDIGARH,Rock Garden Exploration,"Sector 1, Chandigarh",Art & Sculpture Park,October – March,?30 – ?50
,,Sukhna Lake Boating & Walk,"Sector 1, Chandigarh",Nature/Leisure,October – March,?50 – ?200
,,Zakir Hussain Rose Garden Visit,"Sector 16, Chandigarh",Garden/Nature,February – March,?20 – ?50
,,Leisure Valley Park Stroll,"Sector 10, Chandigarh",Nature/Picnic,October – March,Free – ?20
,,Elante Mall Shopping & Dining,Industrial Area Phase 1,Shopping/Leisure,Year-round,Free (Shopping Extra)
