Hotel Name,City,Budget for 1 day and night (INR),Google Maps Rating
Plaza Oasis,Ahmedabad,4496,3.1
Inn Corner,Jaipur,3760,4.4
Hotel Spice,Jaipur,1497,3.2
Garden Corner,Jaipur,3855,3.6
Inn Spice,Jaipur,1252,2.9
The Paradise,Jaipur,5952,4.8
Palace Corner,Jaipur,4028,3.2
Resort Terrace,Jaipur,2520,4.9
Royal Terrace,Lucknow,2511,4.1
The Grill,Lucknow,6172,2.7
The Heaven,Lucknow,6655,3.6
Bistro Heaven,Lucknow,5762,4.2
Resort Heaven,Lucknow,2202,4.3
Lounge Oasis,Lucknow,5040,3.2
Hotel Corner,Delhi,4156,2.9
Bistro Delight,Delhi,2069,4.7
Resort Oasis,Delhi,3322,5.0
Inn Spice,Delhi,5450,3.0
Palace Hub,Delhi,5195,2.9
Cafe Delight,Delhi,4768,3.5
Resort Paradise,Delhi,2337,3.7
Bistro Retreat,Delhi,2435,3.3
Palace Heaven,Delhi,5118,3.4
Garden Oasis,Delhi,1533,4.8
Garden Spice,Mumbai,6399,4.7
Lounge Spice,Mumbai,3146,2.6
The Terrace,Mumbai,2509,3.0
Cafe Retreat,Mumbai,5512,4.4
The Oasis,Mumbai,3667,4.8
Garden Corner,Mumbai,5768,4.1
Resort Spice,Mumbai,6196,4.9
Palace Heaven,Mumbai,835,2.9
Hotel Oasis,Mumbai,4460,2.7
Plaza Delight,Mumbai,3997,4.6
Lounge Grill,Chennai,1629,2.9
Royal Corner,Chennai,4962,3.3
Inn Oasis,Chennai,1313,4.5
Inn Grill,Chennai,1263,3.7
Royal Paradise,Chennai,4538,3.8
Bistro Delight,Chennai,3877,4.0
Inn Grill,Chennai,4467,4.4
Plaza Terrace,Kolkata,6228,2.5
Cafe Corner,Kolkata,3864,3.2
Lounge Terrace,Kolkata,4838,2.6
Cafe Grill,Kolkata,6172,2.6
Garden Heaven,Kolkata,3497,4.1
The Delight,Kolkata,6530,3.6
Cafe Hub,Kolkata,1065,2.6
Hotel Oasis,Bengaluru,1723,5.0
Plaza Oasis,Bengaluru,1971,4.2
Garden Hub,Bengaluru,3652,4.7
Hotel Delight,Bengaluru,6877,3.7
Garden Terrace,Bengaluru,1267,3.2
Plaza Paradise,Bengaluru,4027,4.6
Resort Heaven,Bengaluru,6178,4.8
Palace Retreat,Bengaluru,4971,3.7
Lounge Grill,Hyderabad,6996,2.5
Lounge Oasis,Hyderabad,1097,3.5
Cafe Corner,Hyderabad,880,4.5
Plaza Spice,Hyderabad,1938,3.5
Plaza Grill,Hyderabad,4050,2.6
Royal Corner,Hyderabad,2412,3.5
Garden Corner,Hyderabad,5933,4.4
Inn Paradise,Hyderabad,4425,3.5
Royal Hub,Hyderabad,5104,3.2
Bistro Terrace,Hyderabad,2323,4.7
Lounge Hub,Pune,1733,4.3
Plaza Paradise,Pune,6169,2.7
Royal Terrace,Pune,4497,4.5
Hotel Grill,Pune,1517,4.3
Hotel Hub,Pune,4730,2.9
The Oasis,Pune,1148,2.7
Plaza Retreat,Pune,4303,4.0
Cafe Retreat,Pune,4507,4.5
Inn Spice,Pune,1389,5.0
Resort Corner,Pune,3188,3.4
Inn Grill,Ahmedabad,4052,4.5
Plaza Grill,Ahmedabad,5440,4.7
Bistro Hub,Ahmedabad,4799,3.7
Inn Delight,Ahmedabad,1780,2.7
The Terrace,Ahmedabad,2750,4.1
Garden Paradise,Ahmedabad,1476,2.8
Inn Heaven,Ahmedabad,3359,4.1
Lounge Oasis,Ahmedabad,1321,3.4
Plaza Hub,Jaipur,3970,3.1
Bistro Heaven,Jaipur,1368,4.8
Lounge Spice,Jaipur,5589,4.4
Inn Corner,Jaipur,3303,4.1
Resort Paradise,Jaipur,2829,4.9
Plaza Terrace,Jaipur,4384,2.7
Inn Delight,Jaipur,5974,3.1
Inn Grill,Lucknow,6190,2.8
Royal Spice,Lucknow,5524,2.8
Inn Grill,Lucknow,6874,4.7
Royal Oasis,Lucknow,5938,4.8
Inn Grill,Lucknow,4677,4.3
Lounge Terrace,Lucknow,2637,4.6
Lounge Hub,Delhi,3023,3.8
Palace Hub,Delhi,6550,4.5
Hotel Paradise,Delhi,5809,3.3
The Oasis,Delhi,6861,2.9
Royal Terrace,Delhi,2601,2.6
Inn Paradise,Delhi,6320,4.8
Resort Oasis,Delhi,3057,2.9
Palace Grill,Delhi,6578,3.5
Resort Oasis,Delhi,2119,4.6
Palace Paradise,Delhi,6199,2.6
Inn Delight,Mumbai,2373,2.5
Royal Hub,Mumbai,1933,2.9
The Paradise,Mumbai,5866,3.2
Bistro Corner,Mumbai,6643,4.0
Royal Hub,Mumbai,5068,4.1
Bistro Grill,Mumbai,5355,3.2
Resort Retreat,Mumbai,6261,2.7
Lounge Retreat,Mumbai,4634,2.6
Royal Terrace,Mumbai,2413,3.5
Royal Paradise,Mumbai,1836,3.6
Garden Spice,Chennai,1768,2.7
Resort Terrace,Chennai,5904,4.6
Plaza Corner,Chennai,2855,4.3
Resort Delight,Chennai,1573,3.2
Palace Oasis,Chennai,1547,4.8
Bistro Terrace,Chennai,5224,2.8
Cafe Paradise,Chennai,1433,2.5
Plaza Delight,Kolkata,4260,4.1
Bistro Heaven,Kolkata,6242,3.9
Lounge Oasis,Kolkata,4023,3.2
Plaza Retreat,Kolkata,6137,3.0
Lounge Retreat,Kolkata,3890,3.3
Palace Delight,Kolkata,4624,3.6
Lounge Terrace,Kolkata,5165,4.6
The Spice,Bengaluru,4258,4.1
Inn Retreat,Bengaluru,3034,3.4
The Hub,Bengaluru,2431,4.7
Lounge Spice,Bengaluru,1710,3.4
Royal Delight,Bengaluru,3578,3.9
Palace Delight,Bengaluru,1080,2.6
Lounge Corner,Bengaluru,1226,2.7
Plaza Paradise,Bengaluru,1676,3.0
Bistro Terrace,Hyderabad,5632,4.1
Cafe Heaven,Hyderabad,2968,3.2
Cafe Retreat,Hyderabad,3079,4.8
Plaza Hub,Hyderabad,5371,2.9
Hotel Heaven,Hyderabad,2849,4.9
Garden Heaven,Hyderabad,2224,3.9
Hotel Retreat,Hyderabad,1064,2.8
Cafe Paradise,Hyderabad,4258,3.0
Lounge Paradise,Hyderabad,3141,4.3
Lounge Oasis,Hyderabad,2678,3.0
Palace Hub,Pune,4793,3.3
Plaza Terrace,Pune,4068,3.4
Garden Retreat,Pune,1010,2.7
Hotel Paradise,Pune,3140,2.8
Plaza Grill,Pune,6214,3.8
Plaza Corner,Pune,4718,3.4
Plaza Heaven,Pune,2397,3.4
Resort Heaven,Pune,4562,2.8
Palace Retreat,Pune,4023,3.2
Resort Heaven,Pune,5913,4.4
Plaza Delight,Ahmedabad,6811,3.5
Plaza Oasis,Ahmedabad,6737,4.6
Lounge Grill,Ahmedabad,901,4.6
Palace Hub,Ahmedabad,2522,2.8
Royal Corner,Ahmedabad,2214,3.8
Resort Oasis,Ahmedabad,6092,4.2
Royal Retreat,Ahmedabad,3512,4.3
Lounge Hub,Ahmedabad,6507,3.6
The Paradise,Jaipur,3579,2.9
Lounge Delight,Jaipur,1040,4.7
Royal Heaven,Jaipur,4200,3.3
Royal Delight,Jaipur,6559,4.1
Lounge Retreat,Jaipur,4108,2.5
Royal Retreat,Jaipur,6897,3.9
Cafe Terrace,Jaipur,1100,3.1
Bistro Oasis,Lucknow,3866,4.5
The Terrace,Lucknow,3767,3.7
Royal Spice,Lucknow,6780,3.5
Cafe Retreat,Lucknow,6665,5.0
The Heaven,Lucknow,4273,4.0
Royal Corner,Lucknow,2768,4.9
Cafe Hub,Delhi,1807,4.8
Royal Spice,Delhi,6045,2.7
Hotel Retreat,Delhi,2200,4.1
Cafe Terrace,Delhi,3025,4.1
Cafe Retreat,Delhi,982,3.9
Palace Delight,Delhi,6851,3.8
Lounge Hub,Delhi,5668,3.6
Bistro Heaven,Delhi,5597,4.4
Inn Terrace,Delhi,4327,4.8
Palace Spice,Delhi,5569,4.1
Garden Corner,Mumbai,1989,4.6
Resort Oasis,Mumbai,5859,3.1
Plaza Oasis,Mumbai,6421,3.1
Lounge Spice,Mumbai,6931,4.9
Garden Delight,Mumbai,2314,4.1
Bistro Paradise,Mumbai,987,3.1
Hotel Grill,Mumbai,5812,4.0
Royal Delight,Mumbai,4437,2.8
Cafe Hub,Mumbai,5086,3.4
Plaza Hub,Mumbai,5380,2.9
Inn Corner,Chennai,4410,3.8
Resort Terrace,Chennai,5626,4.6
Hotel Paradise,Chennai,1138,3.3
Inn Terrace,Chennai,2435,4.1
Bistro Heaven,Chennai,6636,3.0
Resort Oasis,Chennai,2155,3.5
Cafe Grill,Chennai,3933,4.9
Royal Delight,Kolkata,4358,4.7
Royal Hub,Kolkata,2307,4.2
Cafe Paradise,Kolkata,2749,3.6
Palace Grill,Kolkata,4905,3.3
The Grill,Kolkata,3808,3.8
The Corner,Kolkata,6115,2.6
The Paradise,Kolkata,3494,4.7
Cafe Oasis,Bengaluru,5515,3.9
Plaza Retreat,Bengaluru,5339,2.9
Hotel Corner,Bengaluru,1153,3.2
Plaza Corner,Bengaluru,4550,3.0
Hotel Spice,Bengaluru,3799,3.5
Inn Corner,Bengaluru,2822,4.8
Palace Retreat,Bengaluru,5000,2.9
Cafe Paradise,Bengaluru,2370,3.1
Plaza Corner,Hyderabad,1539,3.7
The Spice,Hyderabad,2493,3.5
Royal Corner,Hyderabad,2467,4.6
Lounge Spice,Hyderabad,1238,4.7
Plaza Oasis,Hyderabad,2832,4.6
Garden Terrace,Hyderabad,6915,3.0
Hotel Delight,Hyderabad,1272,4.0
Resort Corner,Hyderabad,4374,4.4
Bistro Terrace,Hyderabad,5678,2.7
Resort Corner,Hyderabad,2016,2.6
Garden Spice,Pune,3756,3.6
Lounge Heaven,Pune,3309,4.9
The Corner,Pune,1626,4.3
The Oasis,Pune,1714,2.6
Garden Oasis,Pune,5446,3.6
The Terrace,Pune,4542,3.2
Royal Heaven,Pune,1748,4.7
Plaza Hub,Pune,2153,3.5
Plaza Grill,Pune,1993,3.8
Hotel Hub,Pune,2774,2.6
Royal Hub,Ahmedabad,1200,4.0
The Corner,Ahmedabad,4731,3.6
Palace Retreat,Ahmedabad,4197,2.7
Palace Grill,Ahmedabad,4521,3.3
Resort Delight,Ahmedabad,2737,4.9
Royal Delight,Ahmedabad,3905,4.5
Garden Paradise,Ahmedabad,4784,2.5
Cafe Heaven,Ahmedabad,5423,3.0
Plaza Oasis,Jaipur,2799,4.2
Plaza Retreat,Jaipur,4243,4.6
Palace Delight,Jaipur,839,4.7
Plaza Retreat,Jaipur,4016,3.4
Resort Terrace,Jaipur,1876,3.2
Resort Terrace,Jaipur,2855,3.9
Bistro Grill,Jaipur,6249,3.8
Cafe Oasis,Lucknow,3167,3.8
Lounge Corner,Lucknow,6889,3.4
Royal Oasis,Lucknow,2980,4.5
Royal Terrace,Lucknow,4107,2.6
Hotel Grill,Lucknow,2600,3.3
Royal Corner,Lucknow,1171,4.3
Bistro Hub,Delhi,1070,3.0
Royal Terrace,Delhi,5853,2.9
Lounge Spice,Delhi,6065,4.2
Palace Paradise,Delhi,3493,4.1
Garden Retreat,Delhi,1486,5.0
Plaza Delight,Delhi,5778,4.6
Hotel Heaven,Delhi,3744,2.7
Plaza Hub,Delhi,2739,3.9
Cafe Spice,Delhi,2727,4.7
Royal Paradise,Delhi,6269,3.4
Hotel Hub,Mumbai,5189,3.5
Palace Heaven,Mumbai,4457,4.5
Palace Retreat,Mumbai,3352,3.7
Bistro Hub,Mumbai,6881,3.8
Bistro Terrace,Mumbai,1075,2.8
Royal Terrace,Mumbai,6925,4.6
Plaza Retreat,Mumbai,5307,4.2
Garden Spice,Mumbai,6987,4.3
Plaza Paradise,Mumbai,5082,3.6
Resort Terrace,Mumbai,4264,2.8
Inn Oasis,Chennai,3360,3.4
Hotel Delight,Chennai,3225,2.8
Plaza Spice,Chennai,994,2.8
Cafe Paradise,Chennai,2252,4.2
Garden Hub,Chennai,1819,2.8
Cafe Heaven,Chennai,817,3.9
Resort Paradise,Chennai,4620,4.9
Hotel Spice,Kolkata,6220,3.1
Inn Spice,Kolkata,4617,4.8
Resort Corner,Kolkata,4995,3.2
Bistro Corner,Kolkata,5294,4.0
The Terrace,Kolkata,5198,4.6
Resort Grill,Kolkata,3512,4.9
Palace Retreat,Kolkata,6735,4.1
Garden Oasis,Bengaluru,926,4.9
Garden Retreat,Bengaluru,5559,2.5
The Retreat,Bengaluru,1715,4.4
Inn Terrace,Bengaluru,3981,2.7
The Delight,Bengaluru,5684,2.8
Cafe Hub,Bengaluru,2176,3.2
Royal Corner,Bengaluru,6013,4.0
Lounge Retreat,Bengaluru,5299,3.4
Royal Corner,Hyderabad,3893,4.3
Inn Oasis,Hyderabad,1175,4.9
The Heaven,Hyderabad,3364,3.4
Inn Heaven,Hyderabad,3962,2.7
Inn Grill,Hyderabad,3714,3.6
Lounge Retreat,Hyderabad,3021,4.1
The Terrace,Hyderabad,6434,3.7
Lounge Grill,Hyderabad,5719,4.0
Resort Paradise,Hyderabad,1143,3.5
Royal Spice,Hyderabad,4188,2.9
Inn Terrace,Pune,4346,2.5
Inn Hub,Pune,3573,4.5
Garden Oasis,Pune,3545,4.7
Bistro Hub,Pune,4571,3.1
Bistro Retreat,Pune,1113,3.0
Cafe Terrace,Pune,3343,3.8
Garden Paradise,Pune,4067,4.0
Bistro Oasis,Pune,5948,2.5
Bistro Spice,Pune,3040,3.1
Royal Paradise,Pune,6923,3.6
Bistro Spice,Ahmedabad,4381,3.3
Cafe Spice,Ahmedabad,1353,3.8
Palace Oasis,Ahmedabad,5342,4.5
Palace Retreat,Ahmedabad,6887,3.3
Palace Delight,Ahmedabad,2600,4.5
Cafe Oasis,Ahmedabad,2534,4.6
The Paradise,Ahmedabad,1655,3.7
Royal Grill,Ahmedabad,6458,3.3
Cafe Oasis,Jaipur,6507,4.1
The Hub,Jaipur,2254,4.9
Garden Delight,Jaipur,1938,4.6
Garden Spice,Jaipur,1785,3.7
Royal Terrace,Jaipur,6294,3.0
Bistro Terrace,Jaipur,6745,4.1
Bistro Hub,Jaipur,3948,3.8
Plaza Oasis,Lucknow,2187,3.1
Lounge Hub,Lucknow,6254,4.0
Inn Corner,Lucknow,6248,3.9
Hotel Paradise,Lucknow,5676,4.6
Plaza Heaven,Lucknow,4041,3.9
Palace Retreat,Lucknow,856,4.0
Inn Retreat,Delhi,2701,2.6
Royal Spice,Delhi,6475,3.9
Garden Heaven,Delhi,3782,4.3
Garden Grill,Delhi,1322,2.8
Plaza Hub,Delhi,6815,2.6
Garden Oasis,Delhi,4707,4.8
Inn Grill,Delhi,5711,3.4
The Terrace,Delhi,2766,3.8
Garden Hub,Delhi,6820,4.4
Cafe Paradise,Delhi,4029,3.4
Lounge Grill,Mumbai,5661,3.3
Resort Retreat,Mumbai,3762,4.6
Resort Corner,Mumbai,2688,3.8
Palace Heaven,Mumbai,5381,4.3
Palace Oasis,Mumbai,5741,2.6
Resort Hub,Mumbai,5245,3.8
Resort Delight,Mumbai,2277,4.4
Hotel Grill,Mumbai,866,4.4
Inn Terrace,Mumbai,5295,4.1
Resort Corner,Mumbai,2250,4.4
The Terrace,Chennai,6411,4.2
Cafe Delight,Chennai,821,2.6
Hotel Terrace,Chennai,6984,4.9
Hotel Paradise,Chennai,1173,4.4
Garden Retreat,Chennai,843,5.0
Lounge Spice,Chennai,5499,2.5
Hotel Heaven,Chennai,2608,4.8
Palace Paradise,Kolkata,5821,3.7
Lounge Hub,Kolkata,6105,3.4
Garden Retreat,Kolkata,6418,4.2
Royal Retreat,Kolkata,5836,2.8
Royal Oasis,Kolkata,5113,2.6
Lounge Retreat,Kolkata,1759,4.6
Resort Corner,Kolkata,5567,3.2
Hotel Retreat,Bengaluru,4771,3.9
Resort Oasis,Bengaluru,5807,2.5
Garden Delight,Bengaluru,2979,2.9
Resort Spice,Bengaluru,2394,3.1
Hotel Spice,Bengaluru,3731,4.2
Cafe Corner,Bengaluru,4776,4.6
The Paradise,Bengaluru,6329,4.4
Hotel Terrace,Bengaluru,1532,3.7
Bistro Paradise,Hyderabad,4739,3.0
Royal Paradise,Hyderabad,4647,3.2
Royal Corner,Hyderabad,4769,3.1
Royal Hub,Hyderabad,6662,3.4
Resort Hub,Hyderabad,3616,3.4
Lounge Terrace,Hyderabad,2014,2.9
Lounge Oasis,Hyderabad,5152,4.4
Garden Corner,Hyderabad,5914,4.5
Bistro Delight,Hyderabad,4940,4.2
The Delight,Hyderabad,6594,3.1
Royal Hub,Pune,2722,4.9
Palace Oasis,Pune,6837,4.3
Plaza Delight,Pune,5946,3.2
Garden Paradise,Pune,2677,4.4
Palace Terrace,Pune,6086,4.2
Inn Oasis,Pune,5400,3.7
The Retreat,Pune,5563,3.9
Palace Paradise,Pune,5937,4.5
Lounge Oasis,Pune,1899,3.7
Cafe Delight,Pune,2739,2.9
Bistro Retreat,Ahmedabad,5824,4.9
Lounge Retreat,Ahmedabad,2285,3.6
Plaza Retreat,Ahmedabad,1196,4.7
Plaza Oasis,Ahmedabad,6974,4.0
Resort Corner,Ahmedabad,5481,3.9
The Terrace,Ahmedabad,1504,3.5
Resort Hub,Ahmedabad,2474,3.6
Royal Retreat,Ahmedabad,6070,4.2
Garden Oasis,Jaipur,5394,4.9
The Oasis,Jaipur,1301,3.4
The Grill,Jaipur,6881,2.6
Palace Heaven,Jaipur,3170,3.8
Plaza Heaven,Jaipur,5542,2.7
Plaza Terrace,Jaipur,4396,4.7
Cafe Grill,Jaipur,5903,5.0
Plaza Paradise,Lucknow,4791,4.7
Garden Paradise,Lucknow,6734,4.6
Plaza Heaven,Lucknow,4902,3.2
Palace Retreat,Lucknow,5726,3.5
Garden Hub,Lucknow,2450,5.0
Plaza Terrace,Lucknow,3214,2.6
Inn Corner,Delhi,5185,3.5
The Grill,Delhi,827,3.8
Inn Oasis,Delhi,1896,2.7
Resort Hub,Delhi,2661,3.5
Cafe Heaven,Delhi,5522,3.5
Resort Spice,Delhi,2586,3.7
Plaza Terrace,Delhi,3531,4.0
Inn Terrace,Delhi,5711,2.6
Royal Corner,Delhi,4516,3.5
Plaza Retreat,Delhi,3967,3.2
The Oasis,Mumbai,6670,3.5
Inn Terrace,Mumbai,4912,4.1
Hotel Oasis,Mumbai,6878,3.2
Resort Delight,Mumbai,4423,2.7
Palace Delight,Mumbai,6916,3.0
Inn Terrace,Mumbai,4343,4.5
Palace Spice,Mumbai,6150,2.9
The Terrace,Mumbai,3946,3.0
Inn Heaven,Mumbai,6331,3.8
Plaza Delight,Mumbai,993,3.4
Resort Hub,Chennai,918,3.4
Hotel Retreat,Chennai,2738,2.9
Bistro Corner,Chennai,2992,5.0
Royal Paradise,Chennai,5888,4.7
Resort Delight,Chennai,5936,3.9
The Corner,Chennai,6832,4.1
Bistro Heaven,Chennai,6592,3.1
The Delight,Kolkata,2717,4.3
Palace Paradise,Kolkata,5241,4.8
Bistro Retreat,Kolkata,6252,5.0
Hotel Retreat,Kolkata,5812,4.3
Inn Corner,Kolkata,5413,3.2
Cafe Delight,Kolkata,1647,4.5
Garden Oasis,Kolkata,4935,3.2
Royal Hub,Bengaluru,2203,4.5
Hotel Heaven,Bengaluru,5173,2.9
Inn Paradise,Bengaluru,5959,3.0
Resort Corner,Bengaluru,6935,3.1
Lounge Grill,Bengaluru,2952,3.5
Cafe Hub,Bengaluru,3130,4.8
Lounge Oasis,Bengaluru,4997,4.6
Garden Spice,Bengaluru,2808,3.6
Cafe Terrace,Hyderabad,1513,5.0
Palace Hub,Hyderabad,838,3.5
Plaza Retreat,Hyderabad,2781,3.6
Inn Grill,Hyderabad,5971,4.1
Resort Grill,Hyderabad,3981,2.9
Bistro Delight,Hyderabad,2168,3.1
Royal Retreat,Hyderabad,5276,2.6
Inn Corner,Hyderabad,1953,4.7
Cafe Heaven,Hyderabad,6683,3.7
Inn Heaven,Hyderabad,5788,4.5
Cafe Grill,Pune,5298,4.5
Inn Delight,Pune,2671,3.9
Hotel Paradise,Pune,6242,3.1
Inn Retreat,Pune,2329,3.5
Lounge Retreat,Pune,1545,4.6
Royal Hub,Pune,6466,3.2
Lounge Oasis,Pune,5862,3.5
Hotel Grill,Pune,3961,3.1
Royal Corner,Pune,4831,4.1
Bistro Terrace,Pune,5310,4.0
Lounge Corner,Ahmedabad,2080,4.7
Plaza Heaven,Ahmedabad,5060,2.8
Hotel Grill,Ahmedabad,5365,3.1
Palace Paradise,Ahmedabad,5422,4.0
Palace Delight,Ahmedabad,810,3.0
Royal Spice,Ahmedabad,6622,3.6
Cafe Paradise,Ahmedabad,3068,2.8
Lounge Delight,Ahmedabad,3403,3.4
Cafe Heaven,Jaipur,4885,4.2
Royal Heaven,Jaipur,4621,3.2
Cafe Grill,Jaipur,5939,4.6
Lounge Hub,Jaipur,1207,2.9
Lounge Hub,Jaipur,3642,3.8
Hotel Oasis,Jaipur,4178,4.0
The Retreat,Jaipur,3364,3.3
Resort Retreat,Lucknow,1992,3.8
The Spice,Lucknow,4242,3.9
Garden Terrace,Lucknow,3568,3.1
Garden Paradise,Lucknow,3418,4.5
Hotel Corner,Lucknow,6028,3.8
Resort Heaven,Lucknow,6747,3.0
Inn Grill,Delhi,6182,4.9
Garden Grill,Delhi,4130,3.5
Plaza Hub,Delhi,4118,4.3
Inn Grill,Delhi,5332,2.8
Plaza Paradise,Delhi,6313,2.5
Plaza Hub,Delhi,4899,4.7
Inn Heaven,Delhi,3572,3.5
Resort Corner,Delhi,2082,3.0
Palace Retreat,Delhi,3345,3.0
Inn Hub,Delhi,5800,4.3
Garden Grill,Mumbai,5592,3.3
Palace Oasis,Mumbai,6414,3.1
Resort Delight,Mumbai,4009,2.7
Resort Hub,Mumbai,4181,2.7
Hotel Retreat,Mumbai,4368,2.9
Garden Grill,Mumbai,1397,3.0
Garden Corner,Mumbai,5964,3.7
Lounge Delight,Mumbai,5256,4.9
Bistro Heaven,Mumbai,5789,3.0
Inn Spice,Mumbai,4971,3.1
Inn Hub,Chennai,6277,3.1
Inn Heaven,Chennai,6211,3.7
Plaza Delight,Chennai,2598,3.0
Palace Spice,Chennai,1166,3.6
Royal Corner,Chennai,4709,4.9
Cafe Delight,Chennai,3134,2.8
Bistro Grill,Chennai,1317,2.9
Resort Oasis,Kolkata,5082,2.6
Royal Hub,Kolkata,5547,4.9
Resort Terrace,Kolkata,4562,2.9
Bistro Hub,Kolkata,6586,4.9
The Hub,Kolkata,6861,3.2
Palace Retreat,Kolkata,2710,4.1
Hotel Spice,Kolkata,5017,4.9
Royal Hub,Bengaluru,4840,4.3
Inn Spice,Bengaluru,1184,4.8
Inn Paradise,Bengaluru,2042,4.5
Palace Paradise,Bengaluru,4496,4.8
Palace Heaven,Bengaluru,1850,3.4
Resort Spice,Bengaluru,5800,4.6
Hotel Retreat,Bengaluru,2898,3.1
Plaza Hub,Bengaluru,1002,4.0
Hotel Corner,Hyderabad,1844,4.8
Inn Spice,Hyderabad,5133,3.6
Resort Delight,Hyderabad,5258,3.2
The Terrace,Hyderabad,3774,2.6
Bistro Delight,Hyderabad,5639,2.6
Plaza Corner,Hyderabad,1687,4.0
Lounge Paradise,Hyderabad,3190,3.0
Royal Oasis,Hyderabad,2722,3.7
Hotel Grill,Hyderabad,4132,2.8
The Spice,Hyderabad,3880,4.6
Hotel Terrace,Pune,5082,4.8
Bistro Heaven,Pune,6731,2.7
Cafe Corner,Pune,2945,2.7
Inn Corner,Pune,1254,4.0
Hotel Oasis,Pune,2455,3.9
Garden Delight,Pune,4998,4.8
The Terrace,Pune,1131,3.9
Resort Retreat,Pune,5224,3.6
Lounge Corner,Pune,3139,4.4
Resort Hub,Pune,2593,3.3
Garden Retreat,Ahmedabad,5994,3.6
Garden Corner,Ahmedabad,3275,3.4
Hotel Corner,Ahmedabad,6648,3.5
Hotel Retreat,Ahmedabad,2595,2.8
Hotel Oasis,Ahmedabad,1080,3.6
Lounge Heaven,Ahmedabad,4989,3.1
Inn Paradise,Ahmedabad,2532,3.6
Palace Retreat,Ahmedabad,5517,4.6
Garden Oasis,Jaipur,6141,2.9
Bistro Retreat,Jaipur,3374,2.9
Resort Hub,Jaipur,2386,2.7
Garden Oasis,Jaipur,3161,4.3
Plaza Retreat,Jaipur,2200,3.4
Hotel Terrace,Jaipur,5845,3.4
Palace Oasis,Jaipur,3290,4.5
Inn Oasis,Lucknow,3714,4.7
Lounge Heaven,Lucknow,4389,3.8
Lounge Paradise,Lucknow,5910,4.1
Inn Hub,Lucknow,6050,2.9
Garden Paradise,Lucknow,4763,4.3
Palace Paradise,Lucknow,808,4.2
The Paradise,Delhi,2837,2.5
Lounge Hub,Delhi,1743,3.9
Inn Corner,Delhi,3702,3.7
Royal Spice,Delhi,845,4.1
Royal Spice,Delhi,1259,3.9
Garden Terrace,Delhi,878,4.8
Resort Retreat,Delhi,6848,2.7
Hotel Terrace,Delhi,6894,3.5
Royal Terrace,Delhi,2387,4.7
