Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Plaza Heights,Kolkata,4882,3.5
Inn Gardens,Bengaluru,5407,3.4
Royal Lounge,Bengaluru,11076,3.7
Regency Lounge,Bengaluru,4441,2.8
Plaza Palace,Bengaluru,8542,3.7
Bay Palace,Bengaluru,7451,3.3
Inn Retreat,Bengaluru,4049,2.8
Grand Gardens,Bengaluru,5208,3.1
Resort Suites,Bengaluru,13070,3.1
Heights Oasis,Bengaluru,1172,3.8
Resort Suites,Hyderabad,7961,4.3
Hotel Oasis,Hyderabad,7764,4.8
Inn Residency,Hyderabad,8059,2.7
Heights Oasis,Hyderabad,10319,4.5
Royal Lounge,Hyderabad,2230,4.5
Bay Vista,Hyderabad,6959,4.5
Heights Heights,Hyderabad,1623,4.0
Palace Gardens,Hyderabad,3010,2.9
Resort Residency,Hyderabad,8358,3.7
Heights Residency,Pune,9141,4.8
Palace Suites,Pune,12219,4.7
Royal Lounge,Pune,12240,4.3
Grand Heights,Pune,3527,3.1
Hotel Lounge,Pune,9090,3.2
Hotel Residency,Pune,8688,3.8
Grand Gardens,Pune,14848,3.6
Palace Lounge,Pune,10406,3.5
Plaza Gardens,Pune,3478,4.5
Grand Inn,Ahmedabad,1735,2.5
Heights Heights,Ahmedabad,14151,2.8
Bay Vista,Ahmedabad,4827,4.6
Grand Retreat,Ahmedabad,4894,3.3
Resort Vista,Ahmedabad,7180,2.6
Resort Oasis,Ahmedabad,7659,4.1
Palace Inn,Ahmedabad,9354,4.6
Inn Residency,Ahmedabad,11734,4.2
Inn Vista,Ahmedabad,6211,2.8
Heights Gardens,Ahmedabad,7544,4.4
Heights Oasis,Jaipur,2990,3.6
Hotel Gardens,Jaipur,11535,3.6
Palace Inn,Jaipur,6266,4.2
Hotel Heights,Jaipur,6581,2.5
Suites Residency,Jaipur,3568,3.7
Bay Oasis,Jaipur,12125,4.8
Resort Palace,Jaipur,10407,4.0
Hotel Suites,Jaipur,11732,4.7
Plaza Suites,Lucknow,2880,4.8
Palace Heights,Lucknow,14102,3.6
Bay Inn,Lucknow,9707,2.6
Heights Oasis,Lucknow,8610,3.7
Regency Retreat,Lucknow,12036,3.0
Plaza Vista,Lucknow,5124,3.2
Palace Retreat,Delhi,5138,3.8
Suites Lounge,Delhi,5743,3.2
Hotel Inn,Delhi,13117,3.2
Palace Suites,Delhi,12944,3.3
Palace Inn,Delhi,4050,4.0
Bay Heights,Delhi,10777,3.1
Plaza Lounge,Delhi,6913,5.0
Plaza Residency,Mumbai,10707,3.5
Resort Gardens,Mumbai,7166,3.3
Hotel Suites,Mumbai,11425,2.7
Suites Oasis,Mumbai,12764,4.4
Resort Lounge,Mumbai,2398,4.7
Grand Vista,Mumbai,10019,4.4
Palace Lounge,Chennai,5753,5.0
Regency Vista,Chennai,14301,4.4
Inn Residency,Chennai,7887,4.6
Suites Vista,Chennai,5143,3.2
Heights Suites,Chennai,4530,4.0
Bay Vista,Chennai,4044,3.3
Inn Oasis,Chennai,8815,2.9
Heights Retreat,Kolkata,14167,3.2
Regency Gardens,Kolkata,12358,3.1
Palace Retreat,Kolkata,9613,4.7
Plaza Vista,Kolkata,7846,3.1
Heights Vista,Kolkata,7005,3.2
Heights Retreat,Kolkata,7270,3.9
Heights Suites,Bengaluru,1767,4.9
Heights Palace,Bengaluru,3047,2.6
Hotel Heights,Bengaluru,13243,2.7
Palace Palace,Bengaluru,7605,4.1
Heights Inn,Bengaluru,12689,4.6
Plaza Oasis,Bengaluru,8552,3.7
Bay Suites,Bengaluru,13269,4.0
Plaza Retreat,Bengaluru,14586,4.8
Bay Inn,Bengaluru,12431,5.0
Inn Heights,Hyderabad,14657,3.1
Grand Retreat,Hyderabad,14216,4.1
Resort Oasis,Hyderabad,7146,4.0
Hotel Residency,Hyderabad,8741,3.0
Heights Heights,Hyderabad,4082,4.7
Bay Oasis,Hyderabad,4021,2.6
Royal Lounge,Hyderabad,4096,4.4
Palace Vista,Hyderabad,1500,4.6
Palace Oasis,Hyderabad,2044,4.7
Regency Residency,Pune,1588,4.4
Palace Lounge,Pune,7292,4.9
Inn Residency,Pune,6994,4.6
Regency Inn,Pune,13337,3.5
Palace Suites,Pune,2993,3.1
Royal Oasis,Pune,12465,4.3
Hotel Suites,Pune,1689,2.5
Regency Suites,Pune,2089,3.3
Royal Suites,Pune,11141,4.4
Grand Vista,Ahmedabad,12055,3.9
Inn Vista,Ahmedabad,3190,4.6
Plaza Gardens,Ahmedabad,11213,3.8
Regency Residency,Ahmedabad,2403,4.0
Regency Lounge,Ahmedabad,10463,4.3
Hotel Suites,Ahmedabad,1857,3.0
Bay Suites,Ahmedabad,4512,4.3
Palace Residency,Ahmedabad,12312,3.3
Suites Inn,Ahmedabad,1433,4.1
Grand Residency,Ahmedabad,811,3.5
Plaza Heights,Jaipur,7970,4.9
Hotel Inn,Jaipur,9216,2.9
Palace Suites,Jaipur,1561,4.0
Inn Oasis,Jaipur,4244,4.2
Bay Heights,Jaipur,13770,3.9
Inn Retreat,Jaipur,3781,3.3
Heights Oasis,Jaipur,7957,4.7
Resort Lounge,Jaipur,14443,4.9
Inn Lounge,Lucknow,12640,4.1
Bay Heights,Lucknow,2899,3.2
Suites Oasis,Lucknow,3119,4.8
Regency Gardens,Lucknow,1438,2.7
Resort Inn,Lucknow,1171,3.6
Hotel Vista,Lucknow,1499,4.1
Hotel Oasis,Delhi,9477,2.9
Regency Suites,Delhi,5562,4.7
Grand Oasis,Delhi,2476,4.8
Suites Suites,Delhi,7883,3.0
Plaza Retreat,Delhi,11145,2.7
Royal Heights,Delhi,11732,4.6
Inn Residency,Delhi,12834,3.3
Palace Residency,Mumbai,9392,5.0
Bay Heights,Mumbai,1065,4.9
Grand Retreat,Mumbai,10817,3.1
Regency Inn,Mumbai,5432,3.3
Hotel Suites,Mumbai,1277,3.3
Plaza Gardens,Mumbai,13327,4.7
Palace Lounge,Chennai,1602,2.7
Bay Suites,Chennai,5632,4.4
Royal Inn,Chennai,4375,4.1
Plaza Heights,Chennai,6915,3.8
Plaza Gardens,Chennai,9542,3.5
Heights Heights,Chennai,4037,3.0
Inn Residency,Chennai,7323,4.2
Palace Inn,Kolkata,6798,3.4
Regency Lounge,Kolkata,14156,2.7
Regency Suites,Kolkata,9062,3.4
Plaza Gardens,Kolkata,11206,2.9
Hotel Gardens,Kolkata,11355,3.9
Grand Heights,Kolkata,14905,2.8
Resort Oasis,Bengaluru,14459,4.4
Royal Palace,Bengaluru,4324,2.8
Suites Lounge,Bengaluru,10883,3.2
Royal Heights,Bengaluru,9147,3.2
Resort Inn,Bengaluru,5255,2.7
Hotel Suites,Bengaluru,7419,4.8
Heights Oasis,Bengaluru,10878,4.1
Plaza Retreat,Bengaluru,14784,2.9
Bay Inn,Bengaluru,11168,4.4
Grand Inn,Hyderabad,949,5.0
Hotel Gardens,Hyderabad,6864,4.6
Plaza Oasis,Hyderabad,13559,4.3
Regency Oasis,Hyderabad,1957,4.4
Resort Residency,Hyderabad,3966,3.5
Grand Inn,Hyderabad,8220,3.9
Regency Retreat,Hyderabad,1259,4.3
Hotel Palace,Hyderabad,11491,4.8
Grand Inn,Hyderabad,6168,2.9
Heights Vista,Pune,4134,4.8
Inn Inn,Pune,10291,3.2
Regency Gardens,Pune,2832,4.4
Bay Lounge,Pune,3087,3.8
Plaza Suites,Pune,3607,2.7
Suites Oasis,Pune,957,4.8
Plaza Gardens,Pune,7413,4.0
Heights Retreat,Pune,10146,2.7
Hotel Lounge,Pune,1051,4.1
Regency Residency,Ahmedabad,3057,4.0
Inn Heights,Ahmedabad,8710,4.7
Royal Suites,Ahmedabad,7490,3.8
Hotel Palace,Ahmedabad,994,2.5
Hotel Suites,Ahmedabad,1928,4.0
Inn Heights,Ahmedabad,10852,4.1
Palace Palace,Ahmedabad,2825,4.4
Royal Oasis,Ahmedabad,11533,3.4
Grand Inn,Ahmedabad,12006,4.0
Palace Retreat,Ahmedabad,7461,3.1
Inn Inn,Jaipur,8202,3.0
Grand Lounge,Jaipur,8319,3.6
Regency Residency,Jaipur,4777,2.7
Bay Inn,Jaipur,1085,3.4
Royal Palace,Jaipur,12468,4.2
Regency Gardens,Jaipur,7520,2.8
Resort Inn,Jaipur,8704,4.2
Hotel Lounge,Jaipur,4374,2.8
Inn Heights,Lucknow,3072,4.8
Plaza Suites,Lucknow,9393,5.0
Inn Inn,Lucknow,6798,2.7
Plaza Residency,Lucknow,3737,3.7
Suites Palace,Lucknow,4653,3.1
Palace Heights,Lucknow,3375,4.8
Plaza Retreat,Delhi,14177,4.5
Plaza Lounge,Delhi,11512,4.6
Inn Lounge,Delhi,5746,2.6
Inn Retreat,Delhi,2049,3.3
Resort Lounge,Delhi,9762,4.7
Inn Palace,Delhi,7524,3.1
Inn Retreat,Delhi,4600,3.1
Plaza Lounge,Mumbai,12359,4.7
Palace Heights,Mumbai,5322,3.2
Inn Suites,Mumbai,11856,4.0
Royal Heights,Mumbai,12617,3.3
Palace Lounge,Mumbai,11036,2.9
Grand Suites,Mumbai,11240,3.8
Palace Lounge,Chennai,5373,3.0
Palace Retreat,Chennai,4441,3.5
Suites Palace,Chennai,14463,2.7
Regency Inn,Chennai,14784,4.7
Palace Residency,Chennai,10246,3.4
Royal Retreat,Chennai,1770,4.1
Palace Vista,Chennai,1958,4.9
Grand Suites,Kolkata,10647,2.6
Regency Inn,Kolkata,13757,2.5
Regency Gardens,Kolkata,12492,2.6
Palace Heights,Kolkata,5234,3.3
Suites Retreat,Kolkata,884,3.0
Resort Retreat,Kolkata,8210,3.9
Regency Residency,Bengaluru,4241,4.0
Bay Residency,Bengaluru,11025,3.7
Palace Heights,Bengaluru,1303,3.8
Royal Residency,Bengaluru,2387,3.6
Palace Retreat,Bengaluru,14924,4.9
Resort Palace,Bengaluru,13811,3.6
Suites Lounge,Bengaluru,13883,3.1
Regency Suites,Bengaluru,14314,4.0
Resort Inn,Bengaluru,4675,4.0
Resort Inn,Hyderabad,5669,4.3
Royal Vista,Hyderabad,8822,3.0
Grand Residency,Hyderabad,9483,4.4
Bay Suites,Hyderabad,7153,3.5
Inn Residency,Hyderabad,7788,3.0
Regency Vista,Hyderabad,14834,3.6
Grand Lounge,Hyderabad,10884,4.2
Palace Inn,Hyderabad,2247,3.8
Suites Inn,Hyderabad,4792,2.8
Heights Residency,Pune,5133,3.1
Hotel Vista,Pune,1735,3.2
Palace Lounge,Pune,14987,3.5
Royal Gardens,Pune,14316,4.9
Hotel Palace,Pune,5250,3.9
Inn Gardens,Pune,12628,3.3
Bay Suites,Pune,9657,2.7
Royal Suites,Pune,4410,4.1
Plaza Suites,Pune,3451,3.1
Heights Palace,Ahmedabad,7217,3.5
Grand Heights,Ahmedabad,12130,3.8
Plaza Heights,Ahmedabad,5004,4.3
Regency Lounge,Ahmedabad,7067,4.3
Heights Gardens,Ahmedabad,4129,2.9
Heights Vista,Ahmedabad,14701,4.7
Inn Heights,Ahmedabad,13404,4.1
Bay Heights,Ahmedabad,12062,4.9
Resort Heights,Ahmedabad,14296,4.8
Royal Retreat,Ahmedabad,5198,3.0
Bay Retreat,Jaipur,5535,4.6
Inn Retreat,Jaipur,11381,3.4
Inn Lounge,Jaipur,4746,3.2
Heights Heights,Jaipur,11130,4.5
Inn Palace,Jaipur,13995,2.9
Plaza Gardens,Jaipur,12254,3.8
Royal Inn,Jaipur,4298,3.5
Heights Retreat,Jaipur,9008,4.2
Bay Lounge,Lucknow,5410,2.7
Suites Inn,Lucknow,2280,4.4
Bay Palace,Lucknow,12319,3.6
Suites Heights,Lucknow,5774,3.0
Royal Gardens,Lucknow,7405,4.4
Regency Oasis,Lucknow,1882,3.6
Bay Inn,Delhi,3928,4.5
Inn Retreat,Delhi,8947,2.6
Heights Suites,Delhi,986,3.3
Hotel Residency,Delhi,6361,3.0
Resort Inn,Delhi,2647,2.8
Hotel Retreat,Delhi,7347,3.7
Heights Residency,Delhi,11405,2.8
Royal Retreat,Mumbai,7361,3.3
Bay Residency,Mumbai,14994,3.7
Inn Oasis,Mumbai,8189,4.1
Suites Palace,Mumbai,7832,4.2
Heights Vista,Mumbai,14310,3.9
Heights Suites,Mumbai,5143,3.1
Grand Heights,Chennai,11616,4.7
Regency Lounge,Chennai,11561,2.9
Inn Retreat,Chennai,10361,3.5
Resort Palace,Chennai,4705,3.6
Bay Palace,Chennai,7612,4.7
Suites Heights,Chennai,10432,2.7
Resort Vista,Chennai,1028,4.8
Heights Gardens,Kolkata,13200,4.7
Hotel Suites,Kolkata,966,2.5
Plaza Retreat,Kolkata,4279,4.9
Regency Palace,Kolkata,2784,3.3
Suites Retreat,Kolkata,6024,2.8
Palace Heights,Kolkata,5656,2.6
Hotel Gardens,Bengaluru,13422,2.6
Grand Gardens,Bengaluru,12075,2.7
Resort Lounge,Bengaluru,2288,2.8
Resort Suites,Bengaluru,14048,5.0
Bay Palace,Bengaluru,3106,3.2
Regency Oasis,Bengaluru,915,3.0
Plaza Residency,Bengaluru,14610,3.8
Hotel Inn,Bengaluru,8675,3.0
Suites Suites,Bengaluru,12106,4.1
Inn Vista,Hyderabad,12738,3.8
Resort Heights,Hyderabad,13946,3.2
Plaza Suites,Hyderabad,5308,2.7
Royal Heights,Hyderabad,13138,4.6
Heights Suites,Hyderabad,10201,2.7
Palace Residency,Hyderabad,3568,2.9
Suites Lounge,Hyderabad,12108,2.7
Inn Oasis,Hyderabad,7189,4.2
Palace Suites,Hyderabad,1897,4.0
Bay Residency,Pune,13886,3.0
Bay Lounge,Pune,9692,4.9
Palace Residency,Pune,9845,2.6
Plaza Palace,Pune,2605,4.0
Heights Heights,Pune,12526,2.6
Hotel Vista,Pune,14808,2.7
Plaza Heights,Pune,12242,3.1
Heights Suites,Pune,14926,4.9
Regency Palace,Pune,9373,2.7
Suites Lounge,Ahmedabad,8432,4.0
Bay Inn,Ahmedabad,907,3.4
Regency Gardens,Ahmedabad,10315,4.6
Resort Gardens,Ahmedabad,6031,4.4
Hotel Lounge,Ahmedabad,4463,4.6
Suites Suites,Ahmedabad,2780,3.7
Grand Inn,Ahmedabad,4536,3.2
Grand Lounge,Ahmedabad,6900,3.7
Resort Suites,Ahmedabad,12289,3.1
Resort Inn,Ahmedabad,5630,2.8
Royal Heights,Jaipur,2639,3.4
Royal Suites,Jaipur,810,4.2
Hotel Suites,Jaipur,8325,4.9
Grand Oasis,Jaipur,14624,4.7
Suites Heights,Jaipur,8525,3.3
Hotel Vista,Jaipur,2980,2.8
Regency Lounge,Jaipur,13464,3.0
Grand Residency,Jaipur,7837,3.1
Grand Heights,Lucknow,12262,2.6
Resort Gardens,Lucknow,9844,3.8
Plaza Vista,Lucknow,12162,4.9
Bay Gardens,Lucknow,14902,4.0
Grand Inn,Lucknow,1942,3.5
Royal Palace,Lucknow,14546,3.6
Resort Heights,Delhi,11137,4.1
Hotel Lounge,Delhi,8355,3.5
Grand Palace,Delhi,1341,4.8
Regency Lounge,Delhi,10621,2.6
Heights Retreat,Delhi,3217,4.0
Royal Residency,Delhi,7966,2.7
Palace Heights,Delhi,4236,3.6
Bay Suites,Mumbai,3261,4.5
Resort Lounge,Mumbai,3561,4.0
Resort Palace,Mumbai,10672,3.3
Regency Residency,Mumbai,8820,3.0
Heights Inn,Mumbai,14573,3.7
Heights Vista,Mumbai,14296,4.6
Grand Vista,Chennai,5675,3.1
Resort Oasis,Chennai,13392,3.8
Palace Residency,Chennai,3976,3.7
Royal Residency,Chennai,12383,4.8
Palace Vista,Chennai,7718,2.6
Grand Inn,Chennai,2305,3.8
Resort Suites,Chennai,1351,3.8
Heights Heights,Kolkata,4218,4.8
Suites Palace,Kolkata,2965,4.0
Inn Suites,Kolkata,11144,4.0
Resort Gardens,Kolkata,11657,3.5
Grand Retreat,Kolkata,9561,3.3
Hotel Oasis,Kolkata,4414,3.0
Suites Palace,Bengaluru,5315,4.0
Plaza Palace,Bengaluru,14728,4.9
Grand Oasis,Bengaluru,7363,3.6
Plaza Retreat,Bengaluru,9869,2.6
Heights Residency,Bengaluru,12487,4.8
Hotel Lounge,Bengaluru,9702,3.9
Bay Palace,Bengaluru,5056,4.5
Plaza Palace,Bengaluru,12248,4.0
Plaza Heights,Bengaluru,4111,4.8
Heights Residency,Hyderabad,1671,4.3
Royal Heights,Hyderabad,12762,3.2
Bay Residency,Hyderabad,9383,2.6
Royal Lounge,Hyderabad,10411,2.6
Suites Gardens,Hyderabad,3888,2.9
Plaza Gardens,Hyderabad,6165,4.4
Resort Vista,Hyderabad,2408,4.9
Plaza Inn,Hyderabad,5896,3.2
Bay Palace,Hyderabad,11918,3.5
Bay Residency,Pune,801,4.7
Heights Vista,Pune,5545,4.6
Bay Lounge,Pune,11379,4.8
Grand Suites,Pune,12962,2.8
Grand Residency,Pune,2864,5.0
Plaza Palace,Pune,3593,3.5
Grand Retreat,Pune,10620,3.7
Resort Inn,Pune,12066,4.7
Heights Heights,Pune,865,3.6
Royal Suites,Ahmedabad,2721,3.1
Heights Gardens,Ahmedabad,5072,3.0
Heights Residency,Ahmedabad,5082,4.2
Plaza Heights,Ahmedabad,1305,4.3
Hotel Palace,Ahmedabad,6895,4.9
Suites Retreat,Ahmedabad,11106,4.9
Heights Heights,Ahmedabad,11212,3.5
Resort Residency,Ahmedabad,12557,4.9
Suites Suites,Ahmedabad,8736,3.4
Bay Oasis,Ahmedabad,10182,3.4
Royal Retreat,Jaipur,8971,3.5
Grand Oasis,Jaipur,14896,3.4
Resort Lounge,Jaipur,4653,4.5
Hotel Gardens,Jaipur,11329,4.4
Suites Palace,Jaipur,14939,2.6
Regency Vista,Jaipur,14788,3.3
Palace Suites,Jaipur,7045,2.7
Suites Heights,Jaipur,12390,2.8
Regency Heights,Lucknow,10384,4.9
Suites Residency,Lucknow,8187,4.6
Royal Retreat,Lucknow,5247,5.0
Royal Retreat,Lucknow,5192,4.8
Suites Palace,Lucknow,5129,2.7
Regency Inn,Lucknow,801,4.5
Plaza Lounge,Delhi,4335,3.8
Bay Vista,Delhi,9296,3.8
Hotel Heights,Delhi,8044,2.7
Grand Vista,Delhi,5095,4.3
Heights Oasis,Delhi,14013,3.8
Royal Palace,Delhi,2628,4.1
Heights Residency,Delhi,5951,2.5
Palace Oasis,Mumbai,10404,3.2
Bay Residency,Mumbai,1513,3.9
Regency Heights,Mumbai,8789,3.2
Plaza Heights,Mumbai,14301,4.6
Grand Vista,Mumbai,6254,4.1
Resort Suites,Mumbai,6580,4.0
Bay Lounge,Chennai,4968,4.8
Suites Residency,Chennai,3286,3.8
Resort Suites,Chennai,6768,3.3
Hotel Vista,Chennai,2030,3.0
Hotel Lounge,Chennai,5777,4.0
Regency Palace,Chennai,2024,4.0
Inn Oasis,Chennai,10053,4.1
Bay Oasis,Kolkata,13789,3.8
Royal Retreat,Kolkata,4777,4.0
Palace Palace,Kolkata,7526,3.9
Heights Heights,Kolkata,5961,4.0
Palace Lounge,Kolkata,9358,4.4
Hotel Heights,Kolkata,6021,3.6
Royal Gardens,Bengaluru,1196,4.4
Bay Gardens,Bengaluru,2332,2.6
Royal Lounge,Bengaluru,5501,3.6
Inn Oasis,Bengaluru,7019,3.8
Resort Vista,Bengaluru,7467,4.7
Suites Vista,Bengaluru,13593,3.5
Plaza Heights,Bengaluru,13943,3.0
Suites Heights,Bengaluru,12469,3.2
Royal Oasis,Bengaluru,7432,4.9
Royal Oasis,Hyderabad,1659,4.7
Grand Retreat,Hyderabad,10528,5.0
Plaza Oasis,Hyderabad,971,3.7
Hotel Palace,Hyderabad,10980,3.2
Bay Heights,Hyderabad,7083,4.4
Plaza Suites,Hyderabad,7917,2.7
Resort Palace,Hyderabad,8987,3.7
Grand Vista,Hyderabad,7598,4.8
Bay Residency,Hyderabad,11771,4.9
Inn Retreat,Pune,7419,4.3
Resort Gardens,Pune,5843,3.2
Royal Gardens,Pune,11804,4.1
Bay Inn,Pune,1650,3.2
Plaza Suites,Pune,9026,3.9
Resort Heights,Pune,7433,4.3
Plaza Inn,Pune,13970,3.1
Bay Heights,Pune,6594,3.0
Plaza Suites,Pune,3670,4.8
Bay Residency,Ahmedabad,1613,4.8
Suites Suites,Ahmedabad,9797,5.0
Hotel Gardens,Ahmedabad,5760,4.7
Suites Heights,Ahmedabad,13498,3.5
Resort Residency,Ahmedabad,14877,4.7
Regency Gardens,Ahmedabad,1580,3.4
Inn Lounge,Ahmedabad,3615,4.0
Royal Inn,Ahmedabad,6004,3.7
Plaza Lounge,Ahmedabad,7518,4.3
Plaza Retreat,Ahmedabad,8838,4.4
Suites Heights,Jaipur,5160,4.9
Inn Retreat,Jaipur,11988,4.4
Grand Residency,Jaipur,12347,3.5
Heights Gardens,Jaipur,12323,5.0
Hotel Gardens,Jaipur,9426,3.9
Inn Vista,Jaipur,6712,3.8
Resort Suites,Jaipur,14829,4.4
Inn Lounge,Jaipur,5583,4.8
Grand Oasis,Lucknow,8433,4.8
Inn Oasis,Lucknow,5096,3.3
Inn Palace,Lucknow,2624,3.3
Plaza Retreat,Lucknow,10719,3.5
Regency Residency,Lucknow,6772,3.3
Plaza Vista,Lucknow,3309,2.9
Heights Heights,Delhi,11900,2.9
Resort Vista,Delhi,5562,4.6
Hotel Palace,Delhi,5910,4.6
Royal Residency,Delhi,14541,3.3
Grand Gardens,Delhi,14357,4.1
Regency Oasis,Delhi,13701,3.1
Hotel Residency,Delhi,3067,4.2
Royal Heights,Mumbai,4600,2.9
Suites Palace,Mumbai,5710,4.3
Resort Gardens,Mumbai,4478,3.0
Inn Retreat,Mumbai,7439,3.6
Palace Lounge,Mumbai,5155,4.9
Regency Suites,Mumbai,13886,2.7
Palace Lounge,Chennai,7542,2.7
Regency Heights,Chennai,3522,3.1
Bay Lounge,Chennai,3540,2.7
Regency Residency,Chennai,10799,3.3
Regency Residency,Chennai,8932,4.5
Hotel Heights,Chennai,1401,2.7
Plaza Residency,Chennai,11839,4.7
Regency Gardens,Kolkata,12818,3.2
Plaza Residency,Kolkata,3095,4.1
Suites Lounge,Kolkata,9094,3.7
Plaza Gardens,Kolkata,9995,2.7
Hotel Gardens,Kolkata,4944,3.1
Palace Gardens,Kolkata,4725,2.7
Regency Palace,Bengaluru,11973,4.8
Suites Retreat,Bengaluru,2379,4.8
Hotel Oasis,Bengaluru,8502,4.4
Bay Residency,Bengaluru,6040,4.8
Palace Oasis,Bengaluru,1736,3.5
Grand Residency,Bengaluru,6704,5.0
Palace Oasis,Bengaluru,6937,3.5
Royal Inn,Bengaluru,12110,4.3
Palace Suites,Bengaluru,13993,2.8
Suites Inn,Hyderabad,1862,4.2
Heights Retreat,Hyderabad,6280,3.0
Bay Lounge,Hyderabad,7409,3.9
Hotel Suites,Hyderabad,4264,4.0
Grand Palace,Hyderabad,2905,2.9
Plaza Gardens,Hyderabad,11111,4.6
Hotel Vista,Hyderabad,6776,4.4
Hotel Gardens,Hyderabad,7405,4.1
Palace Inn,Hyderabad,2206,2.5
Grand Oasis,Pune,13524,5.0
Regency Suites,Pune,13761,4.4
Hotel Gardens,Pune,7158,3.9
Heights Gardens,Pune,3935,3.2
Hotel Retreat,Pune,6559,4.5
Heights Heights,Pune,13411,2.9
Heights Lounge,Pune,14951,4.3
Inn Gardens,Pune,13668,3.6
Palace Gardens,Pune,1981,4.1
Suites Retreat,Ahmedabad,12761,2.9
Grand Suites,Ahmedabad,8973,3.5
Grand Inn,Ahmedabad,10319,3.0
Plaza Suites,Ahmedabad,8499,4.2
Resort Residency,Ahmedabad,5114,3.7
Suites Retreat,Ahmedabad,7284,3.3
